id,name,ig_followers,ig_handle,category,subcategory
32778,Sutta,134059,idiotic.sutta,Comedy & Memes,Viral & Memes
32405,Kumuthahappyannachi,133718,kumuthahappyannachi,Comedy & Memes,Viral & Memes
32314,Epic Memes,132440,epic.daily.meme,Comedy & Memes,Viral & Memes
32471,Top Uh Tucker,132040,top_uh_tucker_,Comedy & Memes,Viral & Memes
32407,Vera Level Memes Offl,131087,vera_level_memes_offl,,
12345,Gulzaar Shayri Quotes,130260,___writer___kanha,Community Pages,Art & Artist Community Page
32403,Besties,130193,besties_meme2.0,Comedy & Memes,Viral & Memes
32458,Teddy Bgm 2 0,129375,teddybgm2.0,,
32406,Naughty Thamizha,129065,naughtythamizha,Comedy & Memes,Viral & Memes
32286,Medical Memecitis,127764,memecitis,Comedy & Memes,Viral & Memes
10772,True Love With You,127358,true_love_with_you_,Comedy & Memes,Viral & Memes
32329,Slow X Reverb,124302,slowxreverb,Comedy & Memes,Viral & Memes
1713,Law_icon_our_rights,123883,legalrights__,"Law, Rights & Activism",Human Rights & Equality
41400,Debasish Swain,123283,memes.bks,Comedy & Memes,Viral & Memes
29476,Net,120276,netsamraat,Comedy & Memes,Viral & Memes
11555,Brunt.and.burgers,119472,brunt.and.burgers,Comedy & Memes,Viral & Memes
7315,Vivek Balaji,117687,beingvivekbalaji,Comedy & Memes,Viral & Memes
32281,Wholesome×baazi,116536,sarcasmm.exe,Comedy & Memes,Viral & Memes
32686,Honey Sperm,116269,horneysperm,Comedy & Memes,Viral & Memes
32661,𝐓𝐫𝐨𝐥𝐥𝐬𝐜𝐚𝐬𝐭𝐢𝐜,112889,trollscastic,Comedy & Memes,Viral & Memes
32691,Oye Sun,110356,oyesun._,Comedy & Memes,Viral & Memes
32305,Truememer,109352,true__memer,Comedy & Memes,Viral & Memes
32657,Official Love,108883,officiallove.in,Comedy & Memes,Viral & Memes
41918,The Frustrated Engineer,108770,thefrustratedengineer_,Comedy & Memes,Viral & Memes
32653,School Vs College,108703,_school.vs.college_,Comedy & Memes,Viral & Memes
32408,ᴄᴏᴍᴍɪᴛᴛᴇᴅ Qᴜᴏᴛᴇꜱ & ᴍᴇᴍᴇꜱ,108385,committedponnungada,Comedy & Memes,Viral & Memes
1774,Comedy | Memes | Chutiyapa,108110,fir_chutiyapa,Comedy & Memes,Viral & Memes
32437,Tamil Love Beats,107278,tamil_love_beats,Comedy & Memes,Viral & Memes
32745,Theflirtingschool,107101,theflirtingschoool,Comedy & Memes,Viral & Memes
39509,Motivation || Inspiration || Success,106872,motivated.duniyaa,"News, Media & Magazines",Feel-Good News / Stories
32659,Ashleel Engineer,105435,ashleel.engineer,Comedy & Memes,Viral & Memes
32411,Memes Mania,103821,__.memes.mania.__,Comedy & Memes,Viral & Memes
32654,Schooldays,103656,_schooldayss,Comedy & Memes,Viral & Memes
32790,𝐓𝐡𝐞𝐟𝐫𝐧𝐝𝐬𝐡𝐢𝐩𝐠𝐨𝐚𝐥,101099,thefrndshipgoal,Comedy & Memes,Viral & Memes
32288,Commerce Study,100061,commerce.study,Comedy & Memes,Viral & Memes
15929,Kishore Rawat,99114,emotion_hai,Comedy & Memes,Viral & Memes
32474,Gurjar,98942,gzb_vale_gurjar,Comedy & Memes,Viral & Memes
32427,Cooku With Comali,98039,cookwithcomalioffll,Comedy & Memes,Viral & Memes
32701,The Backbenchers,97778,the.back.bencherss,Comedy & Memes,Viral & Memes
6343,The Teenage Tale,97704,theteenage_tale,"News, Media & Magazines",Feel-Good News / Stories
13520,Meri Shayri,97680,merishayri_17,"News, Media & Magazines",Feel-Good News / Stories
32409,Pubg Pullinga,97148,pubg_pullinga,Comedy & Memes,Viral & Memes
32788,𝗔𝗱𝘂𝗹𝘁 𝗠𝗮𝗳𝗶𝗮𝗮 𝟮𝟬𝟬𝗞,96917,adult.mafiaa,Comedy & Memes,Viral & Memes
32414,Local Ponnunga Da,96601,localponnungada,Comedy & Memes,Viral & Memes
32664,Love School,96208,luv_.school,Comedy & Memes,Viral & Memes
8788,Incognito Telugu,96015,incognito_telugu2.0,Comedy & Memes,Viral & Memes
38877,Bihar Meme,95927,bihar_meme_,Comedy & Memes,Viral & Memes
32789,Comedicollege,95654,comedicollege,Comedy & Memes,Viral & Memes
32748,Ayushi Bhatia,95378,oye_chhorii,Comedy & Memes,Viral & Memes
36382,Premium Memes,95309,premiummemes0,Comedy & Memes,Viral & Memes
32413,Bangampullingo,95240,bangampullingo,Comedy & Memes,Viral & Memes
32416,90skidsdaw_videos,94026,90skidsdaw_videos,Comedy & Memes,Viral & Memes
13531,K Pramod Kumar,93054,thelawyr,"Law, Rights & Activism",Legal Education
31861,Lit Memes Mumbai,91412,litmemesmumbai,Comedy & Memes,Viral & Memes
