id,name,ig_followers,ig_handle,category,subcategory
2148,Tamil Vibe Posting,99802,tamilvibeposting,Comedy & Memes,Viral & Memes
32946,Little Pune Stories,99618,littlepunestories,Community Pages,City-focused Content
32417,Tamil Memes,99526,strictlyformemez,Comedy & Memes,Viral & Memes
44612,Hii_banaras,98348,_namaste_banaras_,Community Pages,City-focused Content
9204,Ksp_lovers,97322,ksp_lovers1,Community Pages,Professional/Career-focused Content
32447,Melody Mastro,96629,melody_mastro,Community Pages,Fan-Page: Movies & Movie-Celebs
38459,Anil Choudhary,87988,anil_lyrics_8,Comedy & Memes,Viral & Memes
32461,Marappadhilai Nenje,87824,marappadhilai_nenje,Community Pages,Fan-Page: Movies & Movie-Celebs
41700,Solapuri Brand,87707,solapuri.brand13,Community Pages,City-focused Content
38838,Nikki.bh477,87632,nikki.bh477,,
11838,Surat,87543,suratpride,Community Pages,City-focused Content
45727,Ambala Youthquake,87532,youngster_of_ambala,Community Pages,City-focused Content
55153,Whats Up Bengaluru,86382,whatsupbengaluru,Community Pages,City-focused Content
38495,Rohit Chopra,85646,empty._.vibez,Comedy & Memes,Viral & Memes
26754,Seeken 4.2+ Million Followers,85236,seeken101,Entertainment,Info-tainment
32660,Lovers Crazy,84594,lovers__crazy,Comedy & Memes,Viral & Memes
32876,Whats Up Hyderabadlife,83308,whatsuphyderabadlife,Community Pages,City-focused Content
44865,Unlimited News 24,82451,unlimited.news24,"News, Media & Magazines",Breaking News & Headlines
32948,Anish Kumar,82199,whatsinpune,Travel & Places,City-focused Content
45125,Ft. Harsh,82184,uniquepatna,Community Pages,City-focused Content
44443,Salam Satara,82152,the.salaam_satara,Community Pages,City-focused Content
38451,𝐀𝐝𝐢𝐭𝐢,81967,lyrical_g1rl,Community Pages,Fan-Page: Movies & Movie-Celebs
32446,Kadhal_vids,81407,kadhal_vids,Community Pages,Fan-Page: Movies & Movie-Celebs
13538,Vibin,81399,intrxvertism,Comedy & Memes,Viral & Memes
46852,Shree Zaverchand Meghani,80597,zaverchand.meghani,Arts,Creative Writing & Story-Telling
44926,Rizwan Mohiuddin,80294,rizwanmd795,"News, Media & Magazines",Feel-Good News / Stories
7319,The Assamese Tales,79627,theassamesetales,Community Pages,City-focused Content
14265,The Solace,79402,thesolaces,"News, Media & Magazines",Entertainment
18937,𝗧𝗵𝗲𝗕𝗲𝗹𝗼𝘃𝗲𝗱𝗦𝗼𝘂𝗹,79064,thebelovedsoul,"News, Media & Magazines",Entertainment
11691,Indian Talent,78552,indian.talent__,Community Pages,Art & Artist Community Page
38517,𝐑𝐎𝐁𝐈𝐍 𝐏𝐀𝐓𝐄𝐋,78534,_lyricsxrobin,Comedy & Memes,Viral & Memes
43951,Lucknow Unveiled,78171,lucknow_unveiled,Community Pages,City-focused Content
42272,All Edits For You,77986,editss_and_more,Community Pages,Fan-Page: Movies & Movie-Celebs
32472,Beatz__from__heart,77933,beatz__from__heart,Comedy & Memes,Viral & Memes
39633,The Naked Quotes,77603,thenakedquotes,Comedy & Memes,Viral & Memes
38505,Kartik,77407,lyrics_paradise_55,"News, Media & Magazines",Entertainment
32280,Atharv Mondhe,77233,nashikmemesofficial,Community Pages,City-focused Content
45452,Celeb Vibe Zone,77039,celebvibezone,Community Pages,Fan-Page: Movies & Movie-Celebs
8181,Lucknow Beautifull City,76892,lucknowbeautifull,Community Pages,City-focused Content
45983,The Quotery,76665,krt.quotes,"News, Media & Magazines",Feel-Good News / Stories
32959,Surat_citypage,76351,surat_citypage,Community Pages,City-focused Content
44679,Bathinda Bytes,75727,bathinda_bytes,Community Pages,City-focused Content
44717,News Time,75641,officialnewstime,"News, Media & Magazines",Breaking News & Headlines
32665,Hasleybaba,75140,hasley.baba,Comedy & Memes,Viral & Memes
54612,Goa On My Mind,74832,goaonmymind,Community Pages,City-focused Content
38446,Mᴀɴɪsн ᴄʜᴀᴜʜᴀɴ,74218,darkknight_efx,Comedy & Memes,Viral & Memes
45925,Ishq -e - Patna,73278,patna_se_pyaar,Community Pages,City-focused Content
45977,High On Persona Magazine,72918,highonpersonamagazine,"News, Media & Magazines",Lifestyle & Culture
7320,Humans Of Kerala,72757,officialhumansofkeralam,Community Pages,City-focused Content
32879,So Bangalore,72601,sobangalore,Travel & Places,Travel & Food Photography
39445,Ilovethanjai,72265,ilovethanjai,"News, Media & Magazines",Lifestyle & Culture
4873,The Kr Infinity,71988,thekrinfinity,"News, Media & Magazines",Technology & Innovations
32869,Proud Chemburkaar L Chembur,71688,proudchemburkar,Community Pages,City-focused Content
38421,Boys_feel_song,71678,boys_feel_song_1.6n,Community Pages,Art & Artist Community Page
40672,𝙈𝙤𝙤𝙙𝙮 𝘼𝙚𝙨𝙩𝙝𝙚𝙩𝙞𝙘𝙖𝙡𝙨,71250,vibszybeats,"News, Media & Magazines",Entertainment
38530,𝙉𝙚𝙚𝙧𝙖𝙟,70885,lyricsnalll_,"News, Media & Magazines",Entertainment
32334,Musicaddaindia.com,70654,musicaddaindia,"News, Media & Magazines",Entertainment
41160,Way To Sanatana,70340,way_to_sanatana,,
46797,Vn_edit_80,70162,vn_codes_templates80,Photography / Videography,Street / People Photography
9126,Niversity Of Delhi | Du Says | Du | Delhi,70055,du_says,Comedy & Memes,Viral & Memes
42287,Featuring Asansol,68855,featuring_asansol,Community Pages,City-focused Content
38780,Sunny Shah,68800,indian_standup_comedy,Comedy & Memes,Viral & Memes
32915,Whats Up Punjab,68364,whatsuppunjab,Community Pages,City-focused Content
42578,Alappuzha Poliyalle,68184,alappuzha_poliyalle,Community Pages,Art & Artist Community Page
32467,Mental_luv_bgm,67973,mental_luv_bgm,Comedy & Memes,Viral & Memes
4882,Tv Series Quotes,67852,tvseries.__quotes,Entertainment,Movies / Series
39605,Abhi Gadhavi,67850,_itz_abhi07,Comedy & Memes,Viral & Memes
46572,Papapaparazzi,67248,papapaparazziofficial,"News, Media & Magazines",Entertainment
13452,Aesthetic Kunjamma,67106,aesthetic_kunjamma,Community Pages,Fan-Page: Movies & Movie-Celebs
32989,Super Navi Mumbai,67033,super_navimumbai,Community Pages,City-focused Content
32694,Couplegoals,66902,couplegoals.videos.status,Comedy & Memes,Viral & Memes
23283,Whats Up Kolkata,65917,whatsupkolkata,Community Pages,City-focused Content
23232,Rvcj Punjabi,65586,rvcjpunjabi,Community Pages,City-focused Content
38438,Harshit Mishra,65003,harshitx.edits,Comedy & Memes,Viral & Memes
23282,The Kolkata Vibes,64368,the.kolkata.vibes,Community Pages,City-focused Content
41132,Yevarra Meerantha,63984,yevarraa.meerantha,Comedy & Memes,Viral & Memes
44755,Gupshup Official,63582,gupshupofficial,Entertainment,Movies / Series
20685,The Delhipedia,63219,thedelhipedia,Community Pages,City-focused Content
21350,Nikhil Bebolicious Nikks,63183,beboliciousnikks,Comedy & Memes,Viral & Memes
39351,Legend,63107,love_status___70k,"News, Media & Magazines",Entertainment
44011,𝗞dramapsyche,62315,kdramapsyche,Community Pages,Fan-Page: Movies & Movie-Celebs
46796,Windows Production,62152,windowsproduction,"News, Media & Magazines",Entertainment
7301,Almost Everything,62050,_almost.everything,Community Pages,Art & Artist Community Page
32429,Tamil Tele Promos,61774,tamiltelepromos,Community Pages,Fan-Page: Movies & Movie-Celebs
46268,Zila Darbhanga,61057,__zila__darbhanga,Community Pages,City-focused Content
32937,Next Stop Mumbai,60863,nextstop.mumbai,Community Pages,City-focused Content
54624,Whats Up Dubaiuae,60233,whatsupdubaiuae,Community Pages,City-focused Content
7299,Digital Bollywood,60220,digitalbollywood,Community Pages,Art & Artist Community Page
32439,Lyric Fever,60215,lyric_fever,Community Pages,Fan-Page: Movies & Movie-Celebs
32449,Royal Bgm,59662,royal_bgmz,"News, Media & Magazines",Entertainment
10835,Incredible Kerala,59348,theincrediblekerala,Community Pages,City-focused Content
45377,Du Updates,58794,duupdates,Comedy & Memes,Viral & Memes
32905,Nagpur Lovers Official,58611,nagpur_lovers,Community Pages,City-focused Content
46621,Flyingword,58232,flyingword,Comedy & Memes,Viral & Memes
42132,Bhopali Nazaare,57759,bhopali_nazaare,"News, Media & Magazines",Lifestyle & Culture
40082,Ms Dhoni,57323,msd.mahi.csk,Community Pages,Fan-Page: Sports & Sports-Celebs
32911,Whats Up Rajasthan,56428,whatsuprajasthan,Community Pages,City-focused Content
54593,Whats Up Chandigarhlife,56392,whatsupchandigarhlife,Community Pages,City-focused Content
42356,Monsoon Tune,55740,monsoon.raaga,Comedy & Memes,Viral & Memes
43543,Travel Adventuriously,55481,travel_malnad,Travel & Places,Backpacking & Biking
32451,𝙌𝙪𝙚𝙚𝙣𝙞𝙚 𝙗𝙚𝙖𝙩𝙯,55177,queenie_beatz,Comedy & Memes,Viral & Memes
42246,Kolkatazz,54859,kolkatazzz,Community Pages,City-focused Content
32892,Durgapur Live,54665,durgapurlive,Community Pages,City-focused Content
21240,Aa_edits,54579,alluarjunedits,Community Pages,Fan-Page: Movies & Movie-Celebs
40697,This Is Gurugram,54469,thisisgurugram,Community Pages,City-focused Content
