id,name,ig_followers,ig_handle,category,subcategory
42857,Gulfam Khan Hussain,994978,gulfamkhan_hussain,Arts,"Acting, Pro (TV / Series)"
22950,Shriya Pilgaonkar,991780,shriya.pilgaonkar,Arts,"Acting, Pro (Movies)"
30939,Abijeet,989821,abijeet11,Arts,"Acting, Pro (TV / Series)"
31665,Ankit Bathla,989631,ankitbathla10,Arts,"Acting, Pro (Movies)"
32168,Sai Sudharsan,986639,sais_1509,Sports,Professional: Team Sports
42736,Abhay Verma,985120,verma.abhay_,Arts,"Acting, Pro (TV / Series)"
33026,Rinku Asha Mahadeo Rajguru,983782,iamrinkurajguru,Arts,"Acting, Pro (Movies)"
9766,Abhirami Suresh,983055,ebbietoot,Arts,"Acting, Pro (TV / Series)"
39920,Sneha Singh,980722,sneha.singh0703,Arts,"Acting, Pro (TV / Series)"
43265,Gaurav Chopra,976454,mrgravitas,Arts,"Acting, Pro (TV / Series)"
13439,Vaishnavi Sundar,975746,vaishusundarofficial,Arts,Film-making & Cinematography
48363,Sj Suryah,975359,iam__sjsuryah,Arts,"Acting, Pro (TV / Series)"
28881,Neha Bhasin,973173,nehabhasin4u,Arts,Music & Singing
14340,Aakanksha Singh,972457,aakankshasingh30,Arts,"Acting, Pro (TV / Series)"
27,Sonal Vengurlekar,967919,sonal_1206,Arts,"Acting, Pro (Movies)"
42682,Barsha Rani Bishaya,966899,barsharani_bishaya_official,Arts,"Acting, Pro (TV / Series)"
32996,Zeeshan Khan,964760,theonlyzeeshankhan,Arts,"Acting, Pro (TV / Series)"
9650,Swara Bhasker,964191,reallyswara,Arts,"Acting, Pro (TV / Series)"
40056,Anjali Prabhakaran,963544,ianjaliprabhakaran,Entertainment,Fun-Content
14112,Rezwan R Sheikh,963219,rezwanrssunnyofficial,Arts,"Acting, Pro (Movies)"
50497,Pratibha Pandiaraj,961508,i_prathibha,,
41050,Dayanand Shetty,959495,thedayashetty,Entertainment,Fun-Content
32142,Vinesh Phogat,959001,vineshphogat,Politics,Political Satire & Humor
8800,Piyush Sahdev,958510,piyushsahdev,Arts,"Acting, Pro (Movies)"
24719,Siri Hanumanthu,957324,sirihanmanth,Arts,"Acting, Pro (TV / Series)"
16120,Sruishty Mann,949919,sruishty.mann,Arts,Music & Singing
12838,Vinny Arora Dhoopar,949278,vinnyaroradhoopar,Arts,"Acting, Pro (Movies)"
43074,Prosenjit Chatterjee,946717,prosenstar,Arts,"Acting, Pro (TV / Series)"
25074,Aimee Baruah,946497,aimeebaruahofficial,Arts,"Acting, Pro (TV / Series)"
16471,Kat Kristian,945815,kat.kristian,Lifestyle & Living,Personal Vlogs
9617,Anupama Anandkumar,944358,anupamagowda,Arts,"Acting, Pro (Movies)"
8582,M Monal Gajjar,940520,monal_gajjar,Arts,"Acting, Pro (Movies)"
33049,Apurrva Soni,939656,apurrva_soni,Arts,Professional Dancing
21992,Priya Banerjee,938383,priyabanerjee,Arts,"Acting, Pro (TV / Series)"
20420,Khyati Sharma,936857,khyati_sharma_111,Entertainment,Fun-Content
16352,Yukti Thareja,933800,realyukti,Arts,"Acting, Pro (TV / Series)"
30955,Shruti Sodhi,933364,aslishrutisodhi,Arts,"Acting, Pro (TV / Series)"
45194,Gunjan Pant,930616,gunjanpant_official,Arts,"Acting, Pro (TV / Series)"
22108,Rukshar Dhillon,930002,rukshardhillon12,Arts,"Acting, Pro (TV / Series)"
7511,Neel Bhattacharya,926871,neel_bhattacharya,Arts,"Acting, Pro (Movies)"
33024,Nayannah Mukey,926466,nayannah_mukey,Arts,"Acting, Pro (TV / Series)"
